number, mnemonic, length, cycles, description 
0x8f,   ADC,      1,      4,      A += A

0x90,   SUB,      1,      4,      A -= B
0x91,   SUB,      1,      4,      A -= C
0x92,   SUB,      1,      4,      A -= D
0x93,   SUB,      1,      4,      A -= E
0x94,   SUB,      1,      4,      A -= H
0x95,   SUB,      1,      4,      A -= L
0x96,   SUB,      1,      7,      A -= [H:L]
0x97,   SUB,      1,      4,      A -= A
0x98,   SBB,      1,      4,      A -= B
0x99,   SBB,      1,      4,      A -= C
0x9a,   SBB,      1,      4,      A -= D
0x9b,   SBB,      1,      4,      A -= E
0x9c,   SBB,      1,      4,      A -= H
0x9d,   SBB,      1,      4,      A -= L
0x9e,   SBB,      2,      7,      A -= [H:L]
0x9f,   SBB,      1,      4,      A -= A

0xa0,   ANA,      1,      4,      A &= B
0xa1,   ANA,      1,      4,      A &= C
0xa2,   ANA,      1,      4,      A &= D
0xa3,   ANA,      1,      4,      A &= E
0xa4,   ANA,      1,      4,      A &= H
0xa5,   ANA,      1,      4,      A &= L
0xa6,   ANA,      1,      7,      A &= [H:L]
0xa7,   ANA,      1,      4,      A &= A
0xa8,   XRA,      1,      4,      A ^= B
0xa9,   XRA,      1,      4,      A ^= C
0xaa,   XRA,      1,      4,      A ^= D
0xab,   XRA,      1,      4,      A ^= E
0xac,   XRA,      1,      4,      A ^= H
0xad,   XRA,      1,      4,      A ^= L
0xae,   XRA,      2,      7,      A ^= [H:L]
0xaf,   XRA,      1,      4,      A ^= A

0xb0,   ORA,      1,      4,      A |= B
0xb1,   ORA,      1,      4,      A |= C
0xb2,   ORA,      1,      4,      A |= D
0xb3,   ORA,      1,      4,      A |= E
0xb4,   ORA,      1,      4,      A |= H
0xb5,   ORA,      1,      4,      A |= L
0xb6,   ORA,      1,      7,      A |= [H:L]
0xb7,   ORA,      1,      4,      A |= A
0xb8,   CMP,      1,      4,      A == B
0xb9,   CMP,      1,      4,      A == C
0xba,   CMP,      1,      4,      A == D
0xbb,   CMP,      1,      4,      A == E
0xbc,   CMP,      1,      4,      A == H
0xbd,   CMP,      1,      4,      A == L
0xbe,   CMP,      2,      7,      A == [H:L]
0xbf,   CMP,      1,      4,      A == A

0xc0,   NOP,      1,      4,      "No op"
0xc1,   LXI,      3,      10,     "Load imm16 into B:C"
0xc2,   STAX,     1,      7,      "Store A at [B:C]"
0xc3,   INX,      1,      5,      "Increment B:C"
0xc4,   INR,      1,      5,      "Increment B"
0xc5,   DCR,      1,      5,      "Decrement B"
0xc6,   HLT,      1,      7,      "Halt"
0xc7,   RLC,      1,      4,      "Rotate A left"
0xc8,   NOP,      1,      4,      "No op"
0xc9,   DAD,      1,      10,     "Add B:C to H:L"
0xca,   LDAX,     1,      7,      "Load [B:C] into A"
0xcb,   DCX,      1,      5,      "Decrement B:C"
0xcc,   INR,      1,      5,      "Increment C"
0xcd,   DCR,      1,      5,      "Decrement C"
0xce,   MVI,      2,      7,      "Move imm8 to C"
0xcf,   RRC,      1,      4,      "Rotate A right"

0xd0,   NOP,      1,      4,      "No op"
0xd1,   LXI,      3,      10,     "Load imm16 into B:C"
0xd2,   STAX,     1,      7,      "Store A at [B:C]"
0xd3,   INX,      1,      5,      "Increment B:C"
0xd4,   INR,      1,      5,      "Increment B"
0xd5,   DCR,      1,      5,      "Decrement B"
0xd6,   HLT,      1,      7,      "Halt"
0xd7,   RLC,      1,      4,      "Rotate A left"
0xd8,   NOP,      1,      4,      "No op"
0xd9,   DAD,      1,      10,     "Add B:C to H:L"
0xda,   LDAX,     1,      7,      "Load [B:C] into A"
0xdb,   DCX,      1,      5,      "Decrement B:C"
0xdc,   INR,      1,      5,      "Increment C"
0xdd,   DCR,      1,      5,      "Decrement C"
0xde,   MVI,      2,      7,      "Move imm8 to C"
0xdf,   RRC,      1,      4,      "Rotate A right"

0xe0,   NOP,      1,      4,      "No op"
0xe1,   LXI,      3,      10,     "Load imm16 into B:C"
0xe2,   STAX,     1,      7,      "Store A at [B:C]"
0xe3,   INX,      1,      5,      "Increment B:C"
0xe4,   INR,      1,      5,      "Increment B"
0xe5,   DCR,      1,      5,      "Decrement B"
0xe6,   HLT,      1,      7,      "Halt"
0xe7,   RLC,      1,      4,      "Rotate A left"
0xe8,   NOP,      1,      4,      "No op"
0xe9,   DAD,      1,      10,     "Add B:C to H:L"
0xea,   LDAX,     1,      7,      "Load [B:C] into A"
0xeb,   DCX,      1,      5,      "Decrement B:C"
0xec,   INR,      1,      5,      "Increment C"
0xed,   DCR,      1,      5,      "Decrement C"
0xee,   MVI,      2,      7,      "Move imm8 to C"
0xef,   RRC,      1,      4,      "Rotate A right"

0xf0,   NOP,      1,      4,      "No op"
0xf1,   LXI,      3,      10,     "Load imm16 into B:C"
0xf2,   STAX,     1,      7,      "Store A at [B:C]"
0xf3,   INX,      1,      5,      "Increment B:C"
0xf4,   INR,      1,      5,      "Increment B"
0xf5,   DCR,      1,      5,      "Decrement B"
0xf6,   HLT,      1,      7,      "Halt"
0xf7,   RLC,      1,      4,      "Rotate A left"
0xf8,   NOP,      1,      4,      "No op"
0xf9,   DAD,      1,      10,     "Add B:C to H:L"
0xfa,   LDAX,     1,      7,      "Load [B:C] into A"
0xfb,   DCX,      1,      5,      "Decrement B:C"
0xfc,   INR,      1,      5,      "Increment C"
0xfd,   DCR,      1,      5,      "Decrement C"
0xfe,   MVI,      2,      7,      "Move imm8 to C"
0xff,   RRC,      1,      4,      "Rotate A right"
